date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend,week_of_year
2021-04-03,2021,2,4,April,3,5,Saturday,True,13
2021-04-04,2021,2,4,April,4,6,Sunday,True,13
2021-04-05,2021,2,4,April,5,0,Monday,False,14
2021-04-06,2021,2,4,April,6,1,Tuesday,False,14
2021-04-07,2021,2,4,April,7,2,Wednesday,False,14
2021-04-08,2021,2,4,April,8,3,Thursday,False,14
2021-04-09,2021,2,4,April,9,4,Friday,False,14
2021-04-10,2021,2,4,April,10,5,Saturday,True,14
2021-04-11,2021,2,4,April,11,6,Sunday,True,14
2021-04-12,2021,2,4,April,12,0,Monday,False,15
2021-04-13,2021,2,4,April,13,1,Tuesday,False,15
2021-04-14,2021,2,4,April,14,2,Wednesday,False,15
2021-04-15,2021,2,4,April,15,3,Thursday,False,15
2021-04-16,2021,2,4,April,16,4,Friday,False,15
2021-04-17,2021,2,4,April,17,5,Saturday,True,15
2021-04-18,2021,2,4,April,18,6,Sunday,True,15
2021-04-19,2021,2,4,April,19,0,Monday,False,16
2021-04-20,2021,2,4,April,20,1,Tuesday,False,16
